tree	path	start_codepoint	end_codepoint	line	receiver	variant	role	disposition	declaration_path	declaration_line	enum	resolution	review	evidence	source_sha256
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/channels.xr	381	394	17	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	78804a8dd69390e491f49c05a5b08e146f6fda37898bced2f45d6719896a1289
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/channels.xr	487	500	21	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	78804a8dd69390e491f49c05a5b08e146f6fda37898bced2f45d6719896a1289
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/channels.xr	593	606	25	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	78804a8dd69390e491f49c05a5b08e146f6fda37898bced2f45d6719896a1289
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/channels.xr	971	986	43	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	57e0e8785393332530d5f4a12eb2143cab093f6c761eeeafb2a6d9e9c28b0ebf
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/channels.xr	1340	1355	59	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	082837efe13f59c5731b055573306ecd04dbfe506f542de0b4b4492897e33d42
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/channels.xr	1791	1806	84	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	57e0e8785393332530d5f4a12eb2143cab093f6c761eeeafb2a6d9e9c28b0ebf
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/channels.xr	2016	2031	91	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	57e0e8785393332530d5f4a12eb2143cab093f6c761eeeafb2a6d9e9c28b0ebf
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/select_and_scope.xr	1737	1750	77	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	f79bd4b7469029072aa79e36e9fa767e28d7b885a83759aa569d7c4cbc227904
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/05-concurrency/shared_data.xr	916	929	38	Recv	Value	pattern-direct	ACCEPT	stdlib/types/channel.xr	4	Recv	builtin-symbol	reviewed	payload declaration stdlib/types/channel.xr:4	78804a8dd69390e491f49c05a5b08e146f6fda37898bced2f45d6719896a1289
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	demos/07-advanced/testing.xr	906	940	50	TestErr	Expected	constructor	ACCEPT	demos/07-advanced/testing.xr	8	TestErr	same-module	reviewed	payload declaration demos/07-advanced/testing.xr:8	8781277ee4a558f66946d37ccc8992d4d37cdbf9c39f7272c86fe3c95c4bc862
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/base64/base64.xr	6454	6487	191	Base64Error	InvalidLength	constructor	ACCEPT	stdlib/base64/base64.xr	18	Base64Error	same-module	reviewed	payload declaration stdlib/base64/base64.xr:18	d6c71ba39075504a83de16a4cd4d9c9467af442e9e1541b98314a3b03fcd3fe5
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/base64/base64.xr	6519	6558	192	Base64Error	InvalidByte	constructor	ACCEPT	stdlib/base64/base64.xr	19	Base64Error	same-module	reviewed	payload declaration stdlib/base64/base64.xr:19	a41bbab547783dadf8a6f757babdb20b54a45983b7546eb9206117c1be0640c3
