path	line	enum	variant	role	declaration_path	declaration_line	resolution
demos/07-advanced/testing.xr	50	TestErr	Expected	constructor	demos/07-advanced/testing.xr	8	same-module
stdlib/base64/base64.xr	191	Base64Error	InvalidLength	constructor	stdlib/base64/base64.xr	18	same-module
stdlib/base64/base64.xr	192	Base64Error	InvalidByte	constructor	stdlib/base64/base64.xr	19	same-module
stdlib/base64/base64.xr	193	Base64Error	InvalidPadding	constructor	stdlib/base64/base64.xr	20	same-module
stdlib/base64/base64.xr	194	Base64Error	NonCanonicalTrailingBits	constructor	stdlib/base64/base64.xr	21	same-module
stdlib/cluster/cluster.xr	182	AddressError	MissingPort	constructor	stdlib/cluster/cluster.xr	116	same-module
stdlib/cluster/cluster.xr	186	AddressError	InvalidHost	constructor	stdlib/cluster/cluster.xr	117	same-module
stdlib/cluster/cluster.xr	190	AddressError	InvalidPort	constructor	stdlib/cluster/cluster.xr	118	same-module
stdlib/csv/csv.xr	78	CsvDelimiter	Exact	constructor	stdlib/csv/csv.xr	9	same-module
stdlib/csv/csv.xr	171	CsvError	InvalidOption	constructor	stdlib/csv/csv.xr	45	same-module
stdlib/csv/csv.xr	177	CsvError	InvalidOption	constructor	stdlib/csv/csv.xr	45	same-module
stdlib/csv/csv.xr	180	CsvError	InvalidOption	constructor	stdlib/csv/csv.xr	45	same-module
stdlib/csv/csv.xr	238	CsvError	InvalidOption	constructor	stdlib/csv/csv.xr	45	same-module
stdlib/csv/csv.xr	275	CsvError	FieldLimitExceeded	constructor	stdlib/csv/csv.xr	47	same-module
stdlib/csv/csv.xr	303	CsvError	ColumnLimitExceeded	constructor	stdlib/csv/csv.xr	48	same-module
stdlib/csv/csv.xr	396	CsvError	InputLimitExceeded	constructor	stdlib/csv/csv.xr	46	same-module
stdlib/csv/csv.xr	530	CsvError	UnterminatedQuote	constructor	stdlib/csv/csv.xr	49	same-module
stdlib/csv/csv.xr	536	CsvError	InvalidEscape	constructor	stdlib/csv/csv.xr	50	same-module
stdlib/csv/csv.xr	541	CsvError	FieldCountMismatch	constructor	stdlib/csv/csv.xr	51	same-module
stdlib/encoding/encoding.xr	39	HexError	OddLength	constructor	stdlib/encoding/encoding.xr	12	same-module
stdlib/encoding/encoding.xr	45	HexError	InvalidDigit	constructor	stdlib/encoding/encoding.xr	13	same-module
stdlib/encoding/encoding.xr	47	HexError	InvalidDigit	constructor	stdlib/encoding/encoding.xr	13	same-module
stdlib/encoding/encoding.xr	235	Utf16Error	OddByteLength	constructor	stdlib/encoding/encoding.xr	127	same-module
stdlib/encoding/encoding.xr	260	Utf16Error	UnexpectedLowSurrogate	constructor	stdlib/encoding/encoding.xr	128	same-module
stdlib/encoding/encoding.xr	263	Utf16Error	MissingLowSurrogate	constructor	stdlib/encoding/encoding.xr	129	same-module
stdlib/encoding/encoding.xr	270	Utf16Error	InvalidLowSurrogate	constructor	stdlib/encoding/encoding.xr	130	same-module
stdlib/http/http.xr	1266	HttpError	InvalidMethod	constructor	stdlib/http/http.xr	1244	same-module
stdlib/http/http.xr	1304	HttpError	InvalidHeaderName	constructor	stdlib/http/http.xr	1242	same-module
stdlib/http/http.xr	1305	HttpError	InvalidHeaderValue	constructor	stdlib/http/http.xr	1243	same-module
stdlib/http/http.xr	1311	HttpError	InvalidHeaderName	constructor	stdlib/http/http.xr	1242	same-module
stdlib/http/http.xr	1312	HttpError	InvalidHeaderValue	constructor	stdlib/http/http.xr	1243	same-module
stdlib/http/http.xr	2111	HttpError	ConnectionFailed	constructor	stdlib/http/http.xr	1246	same-module
stdlib/http/http.xr	2128	HttpError	ProtocolError	constructor	stdlib/http/http.xr	1247	same-module
stdlib/http/http.xr	2143	HttpError	ProtocolError	constructor	stdlib/http/http.xr	1247	same-module
stdlib/http/http.xr	2156	HttpError	UnsupportedVersion	constructor	stdlib/http/http.xr	1249	same-module
stdlib/http/http.xr	2158	HttpError	ProtocolError	constructor	stdlib/http/http.xr	1247	same-module
stdlib/http/http.xr	2202	HttpError	ProtocolError	constructor	stdlib/http/http.xr	1247	same-module
stdlib/http/http.xr	2203	HttpError	ProtocolError	constructor	stdlib/http/http.xr	1247	same-module
stdlib/http/http.xr	2204	HttpError	ProtocolError	constructor	stdlib/http/http.xr	1247	same-module
stdlib/http/http.xr	2205	HttpError	ConnectionFailed	constructor	stdlib/http/http.xr	1246	same-module
stdlib/http/http.xr	2206	HttpError	UnsupportedVersion	constructor	stdlib/http/http.xr	1249	same-module
stdlib/http/http.xr	2213	HttpError	InvalidUrl	constructor	stdlib/http/http.xr	1245	same-module
stdlib/http/http.xr	2240	HttpError	InvalidUrl	constructor	stdlib/http/http.xr	1245	same-module
stdlib/http/http.xr	2248	HttpError	InvalidUrl	constructor	stdlib/http/http.xr	1245	same-module
stdlib/http2/http2.xr	216	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	219	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	222	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	226	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	229	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	233	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	835	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1085	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1091	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1096	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1115	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1119	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1131	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1135	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1144	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1149	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1161	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1294	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1351	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1359	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1367	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1378	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1383	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1395	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1406	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1414	Http2Error	CompressionError	constructor	stdlib/http2/http2.xr	115	same-module
stdlib/http2/http2.xr	1428	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1496	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1505	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1513	Http2Error	FramingError	constructor	stdlib/http2/http2.xr	112	same-module
stdlib/http2/http2.xr	1533	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1537	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1578	Http2Error	ConnectionFailed	constructor	stdlib/http2/http2.xr	110	same-module
stdlib/http2/http2.xr	1590	Http2Error	ConnectionFailed	constructor	stdlib/http2/http2.xr	110	same-module
stdlib/http2/http2.xr	1594	Http2Error	ConnectionFailed	constructor	stdlib/http2/http2.xr	110	same-module
stdlib/http2/http2.xr	1601	Http2Error	ConnectionFailed	constructor	stdlib/http2/http2.xr	110	same-module
stdlib/http2/http2.xr	1608	Http2Error	ConnectionFailed	constructor	stdlib/http2/http2.xr	110	same-module
stdlib/http2/http2.xr	1612	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1637	Http2Error	ProtocolError	constructor	stdlib/http2/http2.xr	107	same-module
stdlib/http2/http2.xr	1642	Http2Error	ConnectionFailed	constructor	stdlib/http2/http2.xr	110	same-module
stdlib/regex/regex.xr	1791	RegexError	InvalidPattern	constructor	stdlib/regex/regex.xr	1743	same-module
stdlib/regex/regex.xr	1794	RegexError	InvalidPattern	constructor	stdlib/regex/regex.xr	1743	same-module
stdlib/url/url.xr	217	UrlError	InvalidPercentEncoding	constructor	stdlib/url/url.xr	10	same-module
stdlib/url/url.xr	222	UrlError	InvalidPercentEncoding	constructor	stdlib/url/url.xr	10	same-module
stdlib/xml/xml.xr	657	XmlNode	Comment	constructor	stdlib/xml/xml.xr	45	same-module
stdlib/xml/xml.xr	662	XmlNode	Comment	constructor	stdlib/xml/xml.xr	45	same-module
stdlib/xml/xml.xr	675	XmlNode	CData	constructor	stdlib/xml/xml.xr	46	same-module
stdlib/xml/xml.xr	676	XmlNode	Text	constructor	stdlib/xml/xml.xr	44	same-module
stdlib/xml/xml.xr	682	XmlNode	CData	constructor	stdlib/xml/xml.xr	46	same-module
stdlib/xml/xml.xr	683	XmlNode	Text	constructor	stdlib/xml/xml.xr	44	same-module
stdlib/xml/xml.xr	694	XmlNode	Text	constructor	stdlib/xml/xml.xr	44	same-module
stdlib/xml/xml.xr	737	XmlNode	Element	constructor	stdlib/xml/xml.xr	43	same-module
stdlib/xml/xml.xr	777	XmlNode	Element	constructor	stdlib/xml/xml.xr	43	same-module
stdlib/xml/xml.xr	815	XmlNode	Element	constructor	stdlib/xml/xml.xr	43	same-module
stdlib/xml/xml.xr	967	XmlError	Parse	constructor	stdlib/xml/xml.xr	173	same-module
stdlib/xml/xml.xr	970	XmlError	Parse	constructor	stdlib/xml/xml.xr	173	same-module
stdlib/xml/xml.xr	988	XmlError	Io	constructor	stdlib/xml/xml.xr	174	same-module
stdlib/xml/xml.xr	1015	XmlNode	Document	constructor	stdlib/xml/xml.xr	42	same-module
stdlib/xml/xml.xr	1016	XmlNode	Document	constructor	stdlib/xml/xml.xr	42	same-module
stdlib/xml/xml.xr	1023	XmlNode	Element	constructor	stdlib/xml/xml.xr	43	same-module
stdlib/xml/xml.xr	1027	XmlNode	Text	constructor	stdlib/xml/xml.xr	44	same-module
stdlib/xml/xml.xr	1031	XmlNode	Comment	constructor	stdlib/xml/xml.xr	45	same-module
stdlib/xml/xml.xr	1035	XmlNode	CData	constructor	stdlib/xml/xml.xr	46	same-module
stdlib/yaml/yaml.xr	313	YamlValue	Boolean	constructor	stdlib/yaml/yaml.xr	98	same-module
stdlib/yaml/yaml.xr	317	YamlValue	Integer	constructor	stdlib/yaml/yaml.xr	99	same-module
stdlib/yaml/yaml.xr	321	YamlValue	Float	constructor	stdlib/yaml/yaml.xr	100	same-module
stdlib/yaml/yaml.xr	325	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	329	YamlValue	Binary	constructor	stdlib/yaml/yaml.xr	102	same-module
stdlib/yaml/yaml.xr	333	YamlValue	Sequence	constructor	stdlib/yaml/yaml.xr	103	same-module
stdlib/yaml/yaml.xr	337	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	342	YamlValue	Tagged	constructor	stdlib/yaml/yaml.xr	105	same-module
stdlib/yaml/yaml.xr	347	YamlValue	Alias	constructor	stdlib/yaml/yaml.xr	106	same-module
stdlib/yaml/yaml.xr	593	YamlValue	Boolean	constructor	stdlib/yaml/yaml.xr	98	same-module
stdlib/yaml/yaml.xr	594	YamlValue	Boolean	constructor	stdlib/yaml/yaml.xr	98	same-module
stdlib/yaml/yaml.xr	595	YamlValue	Float	constructor	stdlib/yaml/yaml.xr	100	same-module
stdlib/yaml/yaml.xr	596	YamlValue	Float	constructor	stdlib/yaml/yaml.xr	100	same-module
stdlib/yaml/yaml.xr	597	YamlValue	Float	constructor	stdlib/yaml/yaml.xr	100	same-module
stdlib/yaml/yaml.xr	598	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	610	YamlValue	Integer	constructor	stdlib/yaml/yaml.xr	99	same-module
stdlib/yaml/yaml.xr	611	YamlValue	Integer	constructor	stdlib/yaml/yaml.xr	99	same-module
stdlib/yaml/yaml.xr	616	YamlValue	Float	constructor	stdlib/yaml/yaml.xr	100	same-module
stdlib/yaml/yaml.xr	619	YamlValue	Integer	constructor	stdlib/yaml/yaml.xr	99	same-module
stdlib/yaml/yaml.xr	622	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	735	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	745	YamlValue	Sequence	constructor	stdlib/yaml/yaml.xr	103	same-module
stdlib/yaml/yaml.xr	761	YamlValue	Sequence	constructor	stdlib/yaml/yaml.xr	103	same-module
stdlib/yaml/yaml.xr	770	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	791	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	936	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	971	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	979	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	984	YamlValue	String	constructor	stdlib/yaml/yaml.xr	101	same-module
stdlib/yaml/yaml.xr	1016	YamlValue	Mapping	constructor	stdlib/yaml/yaml.xr	104	same-module
stdlib/yaml/yaml.xr	1055	YamlValue	Sequence	constructor	stdlib/yaml/yaml.xr	103	same-module
stdlib/yaml/yaml.xr	1256	YamlError	Parse	constructor	stdlib/yaml/yaml.xr	133	same-module
stdlib/yaml/yaml.xr	1266	YamlError	Parse	constructor	stdlib/yaml/yaml.xr	133	same-module
stdlib/yaml/yaml.xr	1309	YamlError	Io	constructor	stdlib/yaml/yaml.xr	134	same-module
tests/aot/basic/adt_match_static_tag_payload.xr	8	FastResult	Ok	constructor	tests/aot/basic/adt_match_static_tag_payload.xr	2	same-module
tests/aot/basic/adt_match_static_tag_payload.xr	10	FastResult	Err	constructor	tests/aot/basic/adt_match_static_tag_payload.xr	3	same-module
tests/aot/basic/defer_block_scope.xr	8	BlockErr	Msg	constructor	tests/aot/basic/defer_block_scope.xr	4	same-module
tests/aot/basic/generic_enum_tuple_payload.xr	9	DecodeResult	Ok	constructor	tests/aot/basic/generic_enum_tuple_payload.xr	4	same-module
tests/aot/basic/try_catch.xr	21	AppErr	Bad	constructor	tests/aot/basic/try_catch.xr	5	same-module
tests/aot/basic/try_catch.xr	33	AppErr	Bad	constructor	tests/aot/basic/try_catch.xr	5	same-module
tests/aot/coro/scope.xr	20	ScopeAotErr	Msg	constructor	tests/aot/coro/scope.xr	11	same-module
tests/aot/filetests/cgen/_imported_enum_guard_lib.xr	6	ImportedGuardError	Failed	constructor	tests/aot/filetests/cgen/_imported_enum_guard_lib.xr	2	same-module
tests/aot/filetests/cgen/adt_match_multi_payload_aggregate.xr	7	PairResult	Pair	constructor	tests/aot/filetests/cgen/adt_match_multi_payload_aggregate.xr	2	same-module
tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	8	FastResult	Ok	constructor	tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	2	same-module
tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	10	FastResult	Err	constructor	tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	3	same-module
tests/aot/filetests/cgen/adt_payload_class_exact_type_check.xr	15	Payload	Item	constructor	tests/aot/filetests/cgen/adt_payload_class_exact_type_check.xr	10	same-module
tests/aot/filetests/cgen/adt_print_multi_payload_boxed.xr	7	PairResult	Pair	constructor	tests/aot/filetests/cgen/adt_print_multi_payload_boxed.xr	2	same-module
