path	line	enum	variant	field_count	named_count	unnamed_count
demos/07-advanced/testing.xr	8	TestErr	Expected	1	0	1
stdlib/base64/base64.xr	18	Base64Error	InvalidLength	1	1	0
stdlib/base64/base64.xr	19	Base64Error	InvalidByte	2	2	0
stdlib/base64/base64.xr	20	Base64Error	InvalidPadding	1	1	0
stdlib/base64/base64.xr	21	Base64Error	NonCanonicalTrailingBits	1	1	0
stdlib/cluster/cluster.xr	116	AddressError	MissingPort	1	0	1
stdlib/cluster/cluster.xr	117	AddressError	InvalidHost	1	0	1
stdlib/cluster/cluster.xr	118	AddressError	InvalidPort	1	0	1
stdlib/csv/csv.xr	9	CsvDelimiter	Exact	1	0	1
stdlib/csv/csv.xr	16	CsvHeader	Explicit	1	0	1
stdlib/csv/csv.xr	45	CsvError	InvalidOption	1	0	1
stdlib/csv/csv.xr	46	CsvError	InputLimitExceeded	1	0	1
stdlib/csv/csv.xr	47	CsvError	FieldLimitExceeded	1	0	1
stdlib/csv/csv.xr	48	CsvError	ColumnLimitExceeded	1	0	1
stdlib/csv/csv.xr	49	CsvError	UnterminatedQuote	5	0	5
stdlib/csv/csv.xr	50	CsvError	InvalidEscape	5	0	5
stdlib/csv/csv.xr	51	CsvError	FieldCountMismatch	5	0	5
stdlib/encoding/encoding.xr	12	HexError	OddLength	1	1	0
stdlib/encoding/encoding.xr	13	HexError	InvalidDigit	2	2	0
stdlib/encoding/encoding.xr	127	Utf16Error	OddByteLength	1	1	0
stdlib/encoding/encoding.xr	128	Utf16Error	UnexpectedLowSurrogate	2	2	0
stdlib/encoding/encoding.xr	129	Utf16Error	MissingLowSurrogate	2	2	0
stdlib/encoding/encoding.xr	130	Utf16Error	InvalidLowSurrogate	2	2	0
stdlib/http/http.xr	1242	HttpError	InvalidHeaderName	1	0	1
stdlib/http/http.xr	1243	HttpError	InvalidHeaderValue	1	0	1
stdlib/http/http.xr	1244	HttpError	InvalidMethod	1	0	1
stdlib/http/http.xr	1245	HttpError	InvalidUrl	1	0	1
stdlib/http/http.xr	1246	HttpError	ConnectionFailed	1	0	1
stdlib/http/http.xr	1247	HttpError	ProtocolError	1	0	1
stdlib/http/http.xr	1249	HttpError	UnsupportedVersion	1	0	1
stdlib/http2/http2.xr	107	Http2Error	ProtocolError	1	1	0
stdlib/http2/http2.xr	110	Http2Error	ConnectionFailed	1	1	0
stdlib/http2/http2.xr	112	Http2Error	FramingError	1	1	0
stdlib/http2/http2.xr	115	Http2Error	CompressionError	1	1	0
stdlib/regex/regex.xr	1743	RegexError	InvalidPattern	2	2	0
stdlib/types/channel.xr	4	Recv	Value	1	0	1
stdlib/types/coroutine.xr	4	TaskResult	Success	1	0	1
stdlib/types/coroutine.xr	5	TaskResult	Failed	1	0	1
stdlib/url/url.xr	10	UrlError	InvalidPercentEncoding	1	0	1
stdlib/xml/xml.xr	42	XmlNode	Document	1	0	1
stdlib/xml/xml.xr	43	XmlNode	Element	3	0	3
stdlib/xml/xml.xr	44	XmlNode	Text	1	0	1
stdlib/xml/xml.xr	45	XmlNode	Comment	1	0	1
stdlib/xml/xml.xr	46	XmlNode	CData	1	0	1
stdlib/xml/xml.xr	47	XmlNode	ProcessingInstruction	2	0	2
stdlib/xml/xml.xr	173	XmlError	Parse	1	0	1
stdlib/xml/xml.xr	174	XmlError	Io	1	0	1
stdlib/yaml/yaml.xr	98	YamlValue	Boolean	1	0	1
stdlib/yaml/yaml.xr	99	YamlValue	Integer	1	0	1
stdlib/yaml/yaml.xr	100	YamlValue	Float	1	0	1
stdlib/yaml/yaml.xr	101	YamlValue	String	1	0	1
stdlib/yaml/yaml.xr	102	YamlValue	Binary	1	0	1
stdlib/yaml/yaml.xr	103	YamlValue	Sequence	1	0	1
stdlib/yaml/yaml.xr	104	YamlValue	Mapping	1	0	1
stdlib/yaml/yaml.xr	105	YamlValue	Tagged	1	0	1
stdlib/yaml/yaml.xr	106	YamlValue	Alias	1	0	1
stdlib/yaml/yaml.xr	133	YamlError	Parse	1	0	1
stdlib/yaml/yaml.xr	134	YamlError	Io	1	0	1
tests/aot/basic/adt_match_static_tag_payload.xr	2	FastResult	Ok	1	0	1
tests/aot/basic/adt_match_static_tag_payload.xr	3	FastResult	Err	1	0	1
tests/aot/basic/defer_block_scope.xr	4	BlockErr	Msg	1	1	0
tests/aot/basic/enum_descriptor_erased_boundaries.xr	8	BoundaryState	Busy	1	0	1
tests/aot/basic/enum_descriptor_union_escape.xr	8	State	Busy	1	0	1
tests/aot/basic/enum_static_iteration_metadata.xr	9	WireEvent	Data	2	2	0
tests/aot/basic/enum_static_iteration_metadata.xr	10	WireEvent	Error	1	1	0
tests/aot/basic/enum_static_iteration_metadata.xr	14	GenericResult	Ok	1	1	0
tests/aot/basic/enum_static_iteration_metadata.xr	15	GenericResult	Error	1	1	0
tests/aot/basic/generic_enum_tuple_payload.xr	4	DecodeResult	Ok	1	0	1
tests/aot/basic/generic_enum_tuple_payload.xr	5	DecodeResult	Err	1	0	1
tests/aot/basic/try_catch.xr	5	AppErr	Bad	1	1	0
tests/aot/coro/scope.xr	11	ScopeAotErr	Msg	1	0	1
tests/aot/filetests/cgen/_imported_enum_guard_lib.xr	2	ImportedGuardError	Failed	1	1	0
tests/aot/filetests/cgen/adt_match_multi_payload_aggregate.xr	2	PairResult	Pair	2	0	2
tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	2	FastResult	Ok	1	0	1
tests/aot/filetests/cgen/adt_match_static_tag_payload.xr	3	FastResult	Err	1	0	1
tests/aot/filetests/cgen/adt_payload_class_exact_type_check.xr	10	Payload	Item	1	0	1
tests/aot/filetests/cgen/adt_print_multi_payload_boxed.xr	2	PairResult	Pair	2	0	2
tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	9	Outcome	Unit	2	0	2
tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	10	Outcome	Echo	3	0	3
tests/aot/filetests/cgen/coro_transitive_enum_owned_result.xr	11	Outcome	State	3	0	3
