path	line	enum	variant	role	declaration_path	declaration_line	resolution
demos/05-concurrency/channels.xr	17	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
demos/05-concurrency/channels.xr	21	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
demos/05-concurrency/channels.xr	25	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
demos/05-concurrency/channels.xr	43	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
demos/05-concurrency/channels.xr	59	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
demos/05-concurrency/channels.xr	84	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
demos/05-concurrency/channels.xr	91	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
demos/05-concurrency/select_and_scope.xr	77	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
demos/05-concurrency/shared_data.xr	38	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
stdlib/csv/csv.xr	234	CsvDelimiter	Exact	pattern-direct	stdlib/csv/csv.xr	9	same-module
stdlib/csv/csv.xr	246	CsvHeader	Explicit	pattern-direct	stdlib/csv/csv.xr	16	same-module
stdlib/http/http.xr	2202	Http2Error	ProtocolError	pattern-direct	stdlib/http2/http2.xr	107	import->module-export
stdlib/http/http.xr	2203	Http2Error	FramingError	pattern-direct	stdlib/http2/http2.xr	112	import->module-export
stdlib/http/http.xr	2204	Http2Error	CompressionError	pattern-direct	stdlib/http2/http2.xr	115	import->module-export
stdlib/http/http.xr	2205	Http2Error	ConnectionFailed	pattern-direct	stdlib/http2/http2.xr	110	import->module-export
stdlib/xml/xml.xr	62	XmlNode	Element	pattern-direct	stdlib/xml/xml.xr	43	same-module
stdlib/xml/xml.xr	74	XmlNode	Element	pattern-direct	stdlib/xml/xml.xr	43	same-module
stdlib/xml/xml.xr	83	XmlNode	Element	pattern-direct	stdlib/xml/xml.xr	43	same-module
stdlib/xml/xml.xr	114	XmlNode	Document	pattern-direct	stdlib/xml/xml.xr	42	same-module
